transaction_id,item_id,customer_id,rental_item,net_price,date_time_out,date_time_in
RNT0012431,ITM47332,M1192,Snowboard,42.50,10/1/24 6:01,10/1/24 20:51
RNT0012431,ITM47333,M1192,Skis,38.25,10/1/24 6:01,10/1/24 20:51
RNT0012431,ITM47334,M1192,Boots,17.00,10/1/24 6:01,10/1/24 20:51
RNT0007446,ITM32401,C8109,Snowboard,50.00,10/1/24 6:03,10/1/24 20:56
RNT0007446,ITM32402,C8109,Poles,8.00,10/1/24 6:03,10/1/24 20:56
RNT0007673,ITM33062,C8195,Helmet,12.00,10/1/24 6:11,10/1/24 17:46
RNT0007673,ITM33063,C8195,Poles,8.00,10/1/24 6:11,10/1/24 17:46
RNT0007673,ITM33064,C8195,Skis,45.00,10/1/24 6:11,10/1/24 17:46
RNT0007673,ITM33065,C8195,Boots,20.00,10/1/24 6:11,10/1/24 17:46
RNT0007748,ITM33295,C8223,Boots,20.00,10/1/24 6:12,10/1/24 17:31
RNT0007748,ITM33296,C8223,Snowboard,50.00,10/1/24 6:12,10/1/24 17:31
RNT0007748,ITM33297,C8223,Skis,45.00,10/1/24 6:12,10/1/24 17:31
RNT0007748,ITM33298,C8223,Helmet,12.00,10/1/24 6:12,10/1/24 17:31
RNT0008539,ITM35675,C8557,Skis,45.00,10/1/24 6:15,10/1/24 18:44
RNT0008539,ITM35676,C8557,Snowboard,50.00,10/1/24 6:15,10/1/24 18:44
RNT0008539,ITM35677,C8557,Helmet,12.00,10/1/24 6:15,10/1/24 18:44
RNT0008539,ITM35678,C8557,Boots,20.00,10/1/24 6:15,10/1/24 18:44
RNT0005788,ITM27395,C7431,Boots,20.00,10/1/24 6:16,10/1/24 19:25
RNT0005788,ITM27396,C7431,Poles,8.00,10/1/24 6:16,10/1/24 19:25
RNT0005788,ITM27397,C7431,Helmet,12.00,10/1/24 6:16,10/1/24 19:25
RNT0010094,ITM40318,C9201,Helmet,12.00,10/1/24 6:19,10/1/24 20:02
RNT0010094,ITM40319,C9201,Skis,45.00,10/1/24 6:19,10/1/24 20:02
RNT0010094,ITM40320,C9201,Poles,8.00,10/1/24 6:19,10/1/24 20:02
RNT0010094,ITM40321,C9201,Snowboard,50.00,10/1/24 6:19,10/1/24 20:02
RNT0001437,ITM14313,C5572,Helmet,12.00,10/1/24 6:21,10/1/24 16:08
RNT0001437,ITM14314,C5572,Skis,45.00,10/1/24 6:21,10/1/24 16:08
RNT0001437,ITM14315,C5572,Poles,8.00,10/1/24 6:21,10/1/24 16:08
RNT0008433,ITM35356,C8510,Poles,8.00,10/1/24 6:23,10/1/24 16:59
RNT0008433,ITM35357,C8510,Snowboard,50.00,10/1/24 6:23,10/1/24 16:59
RNT0009146,ITM37469,C8806,Helmet,12.00,10/1/24 6:26,10/1/24 19:54
RNT0009146,ITM37470,C8806,Boots,20.00,10/1/24 6:26,10/1/24 19:54
RNT0009146,ITM37471,C8806,Poles,8.00,10/1/24 6:26,10/1/24 19:54
RNT0002900,ITM18708,C6188,Boots,20.00,10/1/24 6:27,10/1/24 14:58
RNT0002900,ITM18709,C6188,Snowboard,50.00,10/1/24 6:27,10/1/24 14:58
RNT0002900,ITM18710,C6188,Poles,8.00,10/1/24 6:27,10/1/24 14:58
RNT0002900,ITM18711,C6188,Helmet,12.00,10/1/24 6:27,10/1/24 14:58
RNT0012174,ITM46560,M1152,Helmet,10.20,10/1/24 6:29,10/1/24 17:01
RNT0012174,ITM46561,M1152,Boots,17.00,10/1/24 6:29,10/1/24 17:01
RNT0012174,ITM46562,M1152,Snowboard,42.50,10/1/24 6:29,10/1/24 17:01
RNT0012174,ITM46563,M1152,Skis,38.25,10/1/24 6:29,10/1/24 17:01
RNT0001257,ITM13765,C5499,Snowboard,50.00,10/1/24 6:30,10/1/24 21:23
RNT0001257,ITM13766,C5499,Helmet,12.00,10/1/24 6:30,10/1/24 21:23
RNT0006832,ITM30562,C7850,Helmet,12.00,10/1/24 6:30,10/1/24 19:14
RNT0006832,ITM30563,C7850,Skis,45.00,10/1/24 6:30,10/1/24 19:14
RNT0006832,ITM30564,C7850,Snowboard,50.00,10/1/24 6:30,10/1/24 19:14
RNT0006832,ITM30565,C7850,Poles,8.00,10/1/24 6:30,10/1/24 19:14
RNT0008692,ITM36136,C8624,Skis,45.00,10/1/24 6:30,10/1/24 19:56
RNT0008692,ITM36137,C8624,Poles,8.00,10/1/24 6:30,10/1/24 19:56
RNT0008692,ITM36138,C8624,Snowboard,50.00,10/1/24 6:30,10/1/24 19:56
RNT0004373,ITM23129,C6807,Snowboard,50.00,10/1/24 6:32,10/1/24 19:13
RNT0004373,ITM23130,C6807,Skis,45.00,10/1/24 6:32,10/1/24 19:13
RNT0004373,ITM23131,C6807,Helmet,12.00,10/1/24 6:32,10/1/24 19:13
RNT0004373,ITM23132,C6807,Poles,8.00,10/1/24 6:32,10/1/24 19:13
RNT0011317,ITM43962,M1030,Poles,6.80,10/1/24 6:33,10/1/24 22:52
RNT0011317,ITM43963,M1030,Skis,38.25,10/1/24 6:33,10/1/24 22:52
RNT0011317,ITM43964,M1030,Helmet,10.20,10/1/24 6:33,10/1/24 22:52
RNT0011317,ITM43965,M1030,Boots,17.00,10/1/24 6:33,10/1/24 22:52
RNT0006005,ITM28072,C7524,Poles,8.00,10/1/24 6:35,10/1/24 16:21
RNT0006005,ITM28073,C7524,Helmet,12.00,10/1/24 6:35,10/1/24 16:21
RNT0006005,ITM28074,C7524,Boots,20.00,10/1/24 6:35,10/1/24 16:21
RNT0006005,ITM28075,C7524,Skis,45.00,10/1/24 6:35,10/1/24 16:21
RNT0004339,ITM23023,C6793,Boots,20.00,10/1/24 6:36,10/1/24 19:31
RNT0004339,ITM23024,C6793,Skis,45.00,10/1/24 6:36,10/1/24 19:31
RNT0004339,ITM23025,C6793,Poles,8.00,10/1/24 6:36,10/1/24 19:31
RNT0004339,ITM23026,C6793,Helmet,12.00,10/1/24 6:36,10/1/24 19:31
RNT0011369,ITM44118,M1038,Snowboard,42.50,10/1/24 6:40,10/1/24 17:04
RNT0011369,ITM44119,M1038,Poles,6.80,10/1/24 6:40,10/1/24 17:04
RNT0011369,ITM44120,M1038,Skis,38.25,10/1/24 6:40,10/1/24 17:04
RNT0011369,ITM44121,M1038,Boots,17.00,10/1/24 6:40,10/1/24 17:04
RNT0006017,ITM28111,C7529,Helmet,12.00,10/1/24 6:41,10/1/24 18:57
RNT0006017,ITM28112,C7529,Boots,20.00,10/1/24 6:41,10/1/24 18:57
RNT0006017,ITM28113,C7529,Skis,45.00,10/1/24 6:41,10/1/24 18:57
RNT0006017,ITM28114,C7529,Snowboard,50.00,10/1/24 6:41,10/1/24 18:57
RNT0000092,ITM10283,C5031,Boots,20.00,10/1/24 6:42,10/1/24 19:28
RNT0000092,ITM10284,C5031,Helmet,12.00,10/1/24 6:42,10/1/24 19:28
