date,customer_id,ticket_price,discount_code,discount_pct,net_ticket_price
10/1/2024,M1014,0,WELCOME50,0.5,0
10/1/2024,C8510,150,WELCOME50,0.5,75
10/1/2024,M1015,0,WELCOME50,0.5,0
10/1/2024,C5451,150,WELCOME50,0.5,75
10/1/2024,C9174,150,WELCOME50,0.5,75
10/1/2024,C5031,150,WELCOME50,0.5,75
10/1/2024,C8109,150,WELCOME50,0.5,75
10/1/2024,M1158,0,WELCOME50,0.5,0
10/1/2024,M1165,0,WELCOME50,0.5,0
10/1/2024,M1019,0,WELCOME50,0.5,0
10/1/2024,C9480,150,WELCOME50,0.5,75
10/1/2024,M1086,0,WELCOME50,0.5,0
10/1/2024,M1030,0,WELCOME50,0.5,0
10/1/2024,M1007,0,WELCOME50,0.5,0
10/1/2024,M1098,0,WELCOME50,0.5,0
10/1/2024,C7850,150,WELCOME50,0.5,75
10/1/2024,M1005,0,WELCOME50,0.5,0
10/1/2024,C5572,150,WELCOME50,0.5,75
10/1/2024,M1065,0,WELCOME50,0.5,0
10/1/2024,C8195,150,WELCOME50,0.5,75
10/1/2024,M1152,0,WELCOME50,0.5,0
10/1/2024,C6793,150,WELCOME50,0.5,75
10/1/2024,M1024,0,WELCOME50,0.5,0
10/1/2024,C8223,150,WELCOME50,0.5,75
10/1/2024,C7524,150,WELCOME50,0.5,75
10/1/2024,C8806,150,WELCOME50,0.5,75
10/1/2024,M1134,0,WELCOME50,0.5,0
10/1/2024,M1016,0,WELCOME50,0.5,0
10/1/2024,M1163,0,WELCOME50,0.5,0
10/1/2024,M1075,0,WELCOME50,0.5,0
10/1/2024,C7529,150,WELCOME50,0.5,75
10/1/2024,C6330,150,WELCOME50,0.5,75
10/1/2024,M1037,0,WELCOME50,0.5,0
10/1/2024,M1206,0,WELCOME50,0.5,0
10/1/2024,M1174,0,WELCOME50,0.5,0
10/1/2024,C7431,150,WELCOME50,0.5,75
10/1/2024,C9201,150,WELCOME50,0.5,75
10/1/2024,C8624,150,WELCOME50,0.5,75
10/1/2024,M1072,0,WELCOME50,0.5,0
10/1/2024,C5499,150,WELCOME50,0.5,75
10/1/2024,M1192,0,WELCOME50,0.5,0
10/1/2024,C8557,150,WELCOME50,0.5,75
10/1/2024,M1204,0,WELCOME50,0.5,0
10/1/2024,C9502,150,WELCOME50,0.5,75
10/1/2024,C9088,150,WELCOME50,0.5,75
10/1/2024,C5333,150,WELCOME50,0.5,75
10/1/2024,C7171,150,WELCOME50,0.5,75
10/1/2024,C8485,150,WELCOME50,0.5,75
10/1/2024,C7660,150,WELCOME50,0.5,75
10/1/2024,C6807,150,WELCOME50,0.5,75
10/1/2024,C7047,150,WELCOME50,0.5,75
10/1/2024,C5284,150,WELCOME50,0.5,75
10/1/2024,C5477,150,WELCOME50,0.5,75
10/1/2024,M1112,0,WELCOME50,0.5,0
10/1/2024,M1120,0,WELCOME50,0.5,0
10/1/2024,C6188,150,WELCOME50,0.5,75
